Species 1,Species 2,Dist
Australia(21),Australia(24),0,0005813109
Australia(22),Australia(24),0,0158867909
Australia(23),Australia(24),0,0005813109
Australia,Australia(25),0,0000000000
Australia(2),Australia(25),0,0005830904
Australia(3),Australia(25),0,0000000000
Australia(4),Australia(25),0,0005861665
Australia(5),Australia(25),0,0005830904
Australia(6),Australia(25),0,0000000000
Australia(7),Australia(25),0,0000000000
Australia(8),Australia(25),0,0000000000
Australia(9),Australia(25),0,0011668617
Australia(10),Australia(25),0,0011668617
Australia(11),Australia(25),0,0023367079
Australia(12),Australia(25),0,0029345379
Australia(13),Australia(25),0,0023443246
Australia(14),Australia(25),0,0005836860
Australia(15),Australia(25),0,0011668617
Australia(16),Australia(25),0,0005830904
Australia(17),Australia(25),0,0011668617
Australia(18),Australia(25),0,0153439189
Australia(19),Australia(25),0,0023353437
Australia(20),Australia(25),0,0005830904
Australia(21),Australia(25),0,0005830054
Australia(22),Australia(25),0,0159336709
Australia(23),Australia(25),0,0005830054
Australia(24),Australia(25),0,0000000000
Australia,Australia(26),0,0000000000
Australia(2),Australia(26),0,0005824112
Australia(3),Australia(26),0,0000000000
Australia(4),Australia(26),0,0005854802
Australia(5),Australia(26),0,0005824112
Australia(6),Australia(26),0,0000000000
Australia(7),Australia(26),0,0000000000
Australia(8),Australia(26),0,0000000000
Australia(9),Australia(26),0,0011655017
Australia(10),Australia(26),0,0011655017
Australia(11),Australia(26),0,0023339810
Australia(12),Australia(26),0,0029310973
Australia(13),Australia(26),0,0023415799
Australia(14),Australia(26),0,0005836860
Australia(15),Australia(26),0,0011655017
Australia(16),Australia(26),0,0005824112
Australia(17),Australia(26),0,0011655017
Australia(18),Australia(26),0,0153258287
Australia(19),Australia(26),0,0023353437
Australia(20),Australia(26),0,0005824112
Australia(21),Australia(26),0,0005823264
Australia(22),Australia(26),0,0159148858
Australia(23),Australia(26),0,0005823264
Australia(24),Australia(26),0,0000000000
Australia(25),Australia(26),0,0000000000
Australia,Australia(27),0,0159808284
Australia(2),Australia(27),0,0165136882
Australia(3),Australia(27),0,0153587056
Australia(4),Australia(27),0,0159774743
Australia(5),Australia(27),0,0165136882
Australia(6),Australia(27),0,0159525005
Australia(7),Australia(27),0,0159148858
Australia(8),Australia(27),0,0159148858
Australia(9),Australia(27),0,0171132087
Australia(10),Australia(27),0,0170829638
Australia(11),Australia(27),0,0183182580
Australia(12),Australia(27),0,0183795671
Australia(13),Australia(27),0,0177803054
Australia(14),Australia(27),0,0165468213
Australia(15),Australia(27),0,0170829638
Australia(16),Australia(27),0,0165136882
Australia(17),Australia(27),0,0170829638
Australia(18),Australia(27),0,0087937397
Australia(19),Australia(27),0,0183290898
Australia(20),Australia(27),0,0164845196
Australia(21),Australia(27),0,0165077969
Australia(22),Australia(27),0,0093909645
Australia(23),Australia(27),0,0164786492
Australia(24),Australia(27),0,0159148858
Australia(25),Australia(27),0,0159336709
Australia(26),Australia(27),0,0159148858
Australia,Australia(28),0,0000000000
Australia(2),Australia(28),0,0005824112
Australia(3),Australia(28),0,0000000000
Australia(4),Australia(28),0,0005844536
Australia(5),Australia(28),0,0005813954
Australia(6),Australia(28),0,0000000000
Australia(7),Australia(28),0,0000000000
Australia(8),Australia(28),0,0000000000
Australia(9),Australia(28),0,0011634677
Australia(10),Australia(28),0,0011614407
Australia(11),Australia(28),0,0023299026
Australia(12),Australia(28),0,0029276648
Australia(13),Australia(28),0,0023415799
Australia(14),Australia(28),0,0005826657
Australia(15),Australia(28),0,0011634677
Australia(16),Australia(28),0,0005813954
Australia(17),Australia(28),0,0011614407
Australia(18),Australia(28),0,0153077811
Australia(19),Australia(28),0,0023312605
Australia(20),Australia(28),0,0005803831
Australia(21),Australia(28),0,0005813109
Australia(22),Australia(28),0,0158867909
Australia(23),Australia(28),0,0005802989
Australia(24),Australia(28),0,0000000000
Australia(25),Australia(28),0,0000000000
Australia(26),Australia(28),0,0000000000
Australia(27),Australia(28),0,0158867909
Australia,Australia(29),0,0023474222
Australia(2),Australia(29),0,0029239849
Australia(3),Australia(29),0,0023391856
Australia(4),Australia(29),0,0029308407
Australia(5),Australia(29),0,0029239849
Australia(6),Australia(29),0,0023432966
Australia(7),Australia(29),0,0023378184
Australia(8),Australia(29),0,0023378184
Australia(9),Australia(29),0,0035108395
Australia(10),Australia(29),0,0035067356
Australia(11),Australia(29),0,0046868744
Australia(12),Australia(29),0,0017546438
Australia(13),Australia(29),0,0046931421
Australia(14),Australia(29),0,0029293801
Australia(15),Australia(29),0,0035067356
Australia(16),Australia(29),0,0029239849
Australia(17),Australia(29),0,0035067356
Australia(18),Australia(29),0,0177343932
Australia(19),Australia(29),0,0046896218
Australia(20),Australia(29),0,0029205691
Australia(21),Australia(29),0,0029225311
Australia(22),Australia(29),0,0183469309
Australia(23),Australia(29),0,0029191186
Australia(24),Australia(29),0,0023378184
Australia(25),Australia(29),0,0023405543
Australia(26),Australia(29),0,0023378184
Australia(27),Australia(29),0,0183252378
Australia(28),Australia(29),0,0023350889
Australia,Australia(30),0,0005847954
Australia(2),Australia(30),0,0011655017
Australia(3),Australia(30),0,0005837712
Australia(4),Australia(30),0,0011716467
Australia(5),Australia(30),0,0011655017
Australia(6),Australia(30),0,0005837712
Australia(7),Australia(30),0,0005824112
Australia(8),Australia(30),0,0005824112
Australia(9),Australia(30),0,0017492729
Australia(10),Australia(30),0,0017492729
Australia(11),Australia(30),0,0029191186
Australia(12),Australia(30),0,0035193327
Australia(13),Australia(30),0,0029284344
Australia(14),Australia(30),0,0011677982
Australia(15),Australia(30),0,0017492729
Australia(16),Australia(30),0,0011655017
Australia(17),Australia(30),0,0017492729
Australia(18),Australia(30),0,0159242728
Australia(19),Australia(30),0,0029208238
Australia(20),Australia(30),0,0011655017
Australia(21),Australia(30),0,0011650771
Australia(22),Australia(30),0,0165136882
Australia(23),Australia(30),0,0011650771
Australia(24),Australia(30),0,0005824112
Australia(25),Australia(30),0,0005830904
Australia(26),Australia(30),0,0005824112
Australia(27),Australia(30),0,0165136882
Australia(28),Australia(30),0,0005824112
Australia(29),Australia(30),0,0029239849
Australia,Australia(31),0,0023532042
Australia(2),Australia(31),0,0029310973
Australia(3),Australia(31),0,0023435532
Australia(4),Australia(31),0,0029328166
Australia(5),Australia(31),0,0029310973
Australia(6),Australia(31),0,0023490584
Australia(7),Australia(31),0,0023435532
Australia(8),Australia(31),0,0023435532
Australia(9),Australia(31),0,0035193327
Australia(10),Australia(31),0,0035193327
Australia(11),Australia(31),0,0046986550
Australia(12),Australia(31),0,0005851376
Australia(13),Australia(31),0,0046944277
Australia(14),Australia(31),0,0029370353
Australia(15),Australia(31),0,0035193327
Australia(16),Australia(31),0,0029310973
Australia(17),Australia(31),0,0035193327
Australia(18),Australia(31),0,0172045895
Australia(19),Australia(31),0,0047014163
Australia(20),Australia(31),0,0029310973
Australia(21),Australia(31),0,0029301505
Australia(22),Australia(31),0,0177975243
Australia(23),Australia(31),0,0029301505
Australia(24),Australia(31),0,0023435532
Australia(25),Australia(31),0,0023463026
Australia(26),Australia(31),0,0023435532
Australia(27),Australia(31),0,0177975243
Australia(28),Australia(31),0,0023435532
Australia(29),Australia(31),0,0011705321
Australia(30),Australia(31),0,0029310973
Australia,Australia(32),0,0005861665
Australia(2),Australia(32),0,0011682248
Australia(3),Australia(32),0,0005837712
Australia(4),Australia(32),0,0011709607
Australia(5),Australia(32),0,0011682248
Australia(6),Australia(32),0,0005851376
Australia(7),Australia(32),0,0005837712
Australia(8),Australia(32),0,0005837712
Australia(9),Australia(32),0,0017533624
Australia(10),Australia(32),0,0017523382
Australia(11),Australia(32),0,0029259516
Australia(12),Australia(32),0,0035172696
Australia(13),Australia(32),0,0029284344
Australia(14),Australia(32),0,0011705321
Australia(15),Australia(32),0,0017523382
Australia(16),Australia(32),0,0011682248
Australia(17),Australia(32),0,0017523382
Australia(18),Australia(32),0,0153587056
Australia(19),Australia(32),0,0029276648
Australia(20),Australia(32),0,0011675429
Australia(21),Australia(32),0,0011677982
Australia(22),Australia(32),0,0159585857
Australia(23),Australia(32),0,0011671168
Australia(24),Australia(32),0,0005837712
Australia(25),Australia(32),0,0005844536
Australia(26),Australia(32),0,0005837712
Australia(27),Australia(32),0,0159491582
Australia(28),Australia(32),0,0005834306
Australia(29),Australia(32),0,0029239849
Australia(30),Australia(32),0,0011682248
Australia(31),Australia(32),0,0029310973
Australia,Australia(33),0,0000000000
Australia(2),Australia(33),0,0005851376
Australia(3),Australia(33),0,0000000000
Australia(4),Australia(33),0,0005844536
Australia(5),Australia(33),0,0005851376
Australia(6),Australia(33),0,0000000000
Australia(7),Australia(33),0,0000000000
Australia(8),Australia(33),0,0000000000
Australia(9),Australia(33),0,0011709607
Australia(10),Australia(33),0,0011689076
Australia(11),Australia(33),0,0023449271
Australia(12),Australia(33),0,0029276648
Australia(13),Australia(33),0,0023429514
Australia(14),Australia(33),0,0005864243
Australia(15),Australia(33),0,0011689076
Australia(16),Australia(33),0,0005851376
Australia(17),Australia(33),0,0011689076
Australia(18),Australia(33),0,0147857336
Australia(19),Australia(33),0,0023463026
Australia(20),Australia(33),0,0005841122
Australia(21),Australia(33),0,0005850520
Australia(22),Australia(33),0,0153950847
Australia(23),Australia(33),0,0005840269
Australia(24),Australia(33),0,0000000000
Australia(25),Australia(33),0,0000000000
Australia(26),Australia(33),0,0000000000
Australia(27),Australia(33),0,0153677843
Australia(28),Australia(33),0,0000000000
Australia(29),Australia(33),0,0023419247
Australia(30),Australia(33),0,0005851376
Australia(31),Australia(33),0,0023435532
Australia(32),Australia(33),0,0005847954
Australia,Australia(34),0,0141560914
Australia(2),Australia(34),0,0147194279
Australia(3),Australia(34),0,0135633716
Australia(4),Australia(34),0,0142030047
Australia(5),Australia(34),0,0146934729
Australia(6),Australia(34),0,0141310850
Australia(7),Australia(34),0,0140978803
Australia(8),Australia(34),0,0140978803
Australia(9),Australia(34),0,0152897759
Australia(10),Australia(34),0,0152897759
Australia(11),Australia(34),0,0164883537
Australia(12),Australia(34),0,0165919782
Australia(13),Australia(34),0,0159752493
Australia(14),Australia(34),0,0147232754
Australia(15),Australia(34),0,0153167996
Australia(16),Australia(34),0,0146934729
Australia(17),Australia(34),0,0140978803
Australia(18),Australia(34),0,0023350889
Australia(19),Australia(34),0,0164980696
Australia(20),Australia(34),0,0146934729
Australia(21),Australia(34),0,0146886712
Australia(22),Australia(34),0,0029137612
Australia(23),Australia(34),0,0146886712
Australia(24),Australia(34),0,0140978803
Australia(25),Australia(34),0,0141394106
Australia(26),Australia(34),0,0141227691
Australia(27),Australia(34),0,0076168645
Australia(28),Australia(34),0,0140978803
Australia(29),Australia(34),0,0165429602
Australia(30),Australia(34),0,0147194279
Australia(31),Australia(34),0,0159902934
Australia(32),Australia(34),0,0141611003
Australia(33),Australia(34),0,0135954427
Australia,Australia(35),0,0159525005
Australia(2),Australia(35),0,0165136882
Australia(3),Australia(35),0,0153587056
Australia(4),Australia(35),0,0160058912
Australia(5),Australia(35),0,0164845196
Australia(6),Australia(35),0,0159242728
Australia(7),Australia(35),0,0158867909
Australia(8),Australia(35),0,0158867909
Australia(9),Australia(35),0,0170829638
Australia(10),Australia(35),0,0170829638
Australia(11),Australia(35),0,0182858391
Australia(12),Australia(35),0,0184013891
Australia(13),Australia(35),0,0177803054
Australia(14),Australia(35),0,0165175357
Australia(15),Australia(35),0,0171132087
Australia(16),Australia(35),0,0164845196
Australia(17),Australia(35),0,0170829638
Australia(18),Australia(35),0,0088040627
Australia(19),Australia(35),0,0182966327
Australia(20),Australia(35),0,0164845196
Australia(21),Australia(35),0,0164786492
Australia(22),Australia(35),0,0093744575
Australia(23),Australia(35),0,0164786492
Australia(24),Australia(35),0,0158867909
Australia(25),Australia(35),0,0159336709
Australia(26),Australia(35),0,0159148858
Australia(27),Australia(35),0,0011655017
Australia(28),Australia(35),0,0158867909
Australia(29),Australia(35),0,0183469309
Australia(30),Australia(35),0,0165136882
Australia(31),Australia(35),0,0177975243
Australia(32),Australia(35),0,0159585857
Australia(33),Australia(35),0,0153950847
Australia(34),Australia(35),0,0076034993
Australia,Australia(36),0,0147541776
Australia(2),Australia(36),0,0153167996
Australia(3),Australia(36),0,0141611003
Australia(4),Australia(36),0,0153950847
Australia(5),Australia(36),0,0152897759
Australia(6),Australia(36),0,0147281000
Australia(7),Australia(36),0,0146934729
Australia(8),Australia(36),0,0146934729
Australia(9),Australia(36),0,0158867909
Australia(10),Australia(36),0,0164748197
Australia(11),Australia(36),0,0170867978
Australia(12),Australia(36),0,0177869713
Australia(13),Australia(36),0,0165762109
Australia(14),Australia(36),0,0153206471
Australia(15),Australia(36),0,0165039539
Australia(16),Australia(36),0,0152897759
Australia(17),Australia(36),0,0152807892
Australia(18),Australia(36),0,0082075320
Australia(19),Australia(36),0,0170968720
Australia(20),Australia(36),0,0158774480
Australia(21),Australia(36),0,0152846188
Australia(22),Australia(36),0,0081931220
Australia(23),Australia(36),0,0158719412
Australia(24),Australia(36),0,0146934729
Australia(25),Australia(36),0,0147367823
Australia(26),Australia(36),0,0147194279
Australia(27),Australia(36),0,0076124042
Australia(28),Australia(36),0,0152807892
Australia(29),Australia(36),0,0177343932
Australia(30),Australia(36),0,0153167996
Australia(31),Australia(36),0,0165919782
Australia(32),Australia(36),0,0153496377
Australia(33),Australia(36),0,0147857336
Australia(34),Australia(36),0,0052519371
Australia(35),Australia(36),0,0070145711
Australia,Australia(37),0,0000000000
Australia(2),Australia(37),0,0005824112
Australia(3),Australia(37),0,0000000000
Australia(4),Australia(37),0,0005854802
Australia(5),Australia(37),0,0005813954
Australia(6),Australia(37),0,0000000000
Australia(7),Australia(37),0,0000000000
Australia(8),Australia(37),0,0000000000
Australia(9),Australia(37),0,0011634677
Australia(10),Australia(37),0,0011634677
Australia(11),Australia(37),0,0023299026
Australia(12),Australia(37),0,0029310973
Australia(13),Australia(37),0,0023415799
Australia(14),Australia(37),0,0005826657
Australia(15),Australia(37),0,0011655017
Australia(16),Australia(37),0,0005813954
Australia(17),Australia(37),0,0011634677
Australia(18),Australia(37),0,0153258287
Australia(19),Australia(37),0,0023312605
Australia(20),Australia(37),0,0005813954
Australia(21),Australia(37),0,0005813109
Australia(22),Australia(37),0,0158867909
Australia(23),Australia(37),0,0005813109
Australia(24),Australia(37),0,0000000000
Australia(25),Australia(37),0,0000000000
Australia(26),Australia(37),0,0000000000
Australia(27),Australia(37),0,0159148858
Australia(28),Australia(37),0,0000000000
Australia(29),Australia(37),0,0023378184
Australia(30),Australia(37),0,0005824112
Australia(31),Australia(37),0,0023435532
Australia(32),Australia(37),0,0005837712
Australia(33),Australia(37),0,0000000000
Australia(34),Australia(37),0,0140978803
Australia(35),Australia(37),0,0158867909
Australia(36),Australia(37),0,0146934729
Australia,Australia(38),0,0000000000
Australia(2),Australia(38),0,0005824112
Australia(3),Australia(38),0,0000000000
Australia(4),Australia(38),0,0005844536
Australia(5),Australia(38),0,0005813954
Australia(6),Australia(38),0,0000000000
Australia(7),Australia(38),0,0000000000
Australia(8),Australia(38),0,0000000000
Australia(9),Australia(38),0,0011634677
Australia(10),Australia(38),0,0011614407
Australia(11),Australia(38),0,0023299026
Australia(12),Australia(38),0,0029276648
Australia(13),Australia(38),0,0023415799
Australia(14),Australia(38),0,0005826657
Australia(15),Australia(38),0,0011634677
Australia(16),Australia(38),0,0005813954
Australia(17),Australia(38),0,0011614407
Australia(18),Australia(38),0,0153077811
Australia(19),Australia(38),0,0023312605
Australia(20),Australia(38),0,0005803831
Australia(21),Australia(38),0,0005813109
Australia(22),Australia(38),0,0158867909
Australia(23),Australia(38),0,0005802989
Australia(24),Australia(38),0,0000000000
Australia(25),Australia(38),0,0000000000
Australia(26),Australia(38),0,0000000000
Australia(27),Australia(38),0,0158867909
Australia(28),Australia(38),0,0000000000
Australia(29),Australia(38),0,0023350889
Australia(30),Australia(38),0,0005824112
Australia(31),Australia(38),0,0023435532
Australia(32),Australia(38),0,0005834306
Australia(33),Australia(38),0,0000000000
Australia(34),Australia(38),0,0140978803
Australia(35),Australia(38),0,0158867909
Australia(36),Australia(38),0,0152807892
Australia(37),Australia(38),0,0000000000
Australia,Australia(39),0,0011682248
Australia(2),Australia(39),0,0017492729
Australia(3),Australia(39),0,0011682248
Australia(4),Australia(39),0,0017554143
Australia(5),Australia(39),0,0017462183
Australia(6),Australia(39),0,0011661813
Australia(7),Australia(39),0,0011634677
Australia(8),Australia(39),0,0011634677
Australia(9),Australia(39),0,0023296489
Australia(10),Australia(39),0,0023255856
Australia(11),Australia(39),0,0034988102
Australia(12),Australia(39),0,0041034443
Australia(13),Australia(39),0,0035159785
Australia(14),Australia(39),0,0017495274
Australia(15),Australia(39),0,0023296489
Australia(16),Australia(39),0,0017462183
Australia(17),Australia(39),0,0023255856
Australia(18),Australia(39),0,0159055098
Australia(19),Australia(39),0,0035008516
Australia(20),Australia(39),0,0017431743
Australia(21),Australia(39),0,0017454558
Australia(22),Australia(39),0,0164845196
Australia(23),Australia(39),0,0017424145
Australia(24),Australia(39),0,0011634677
Australia(25),Australia(39),0,0011668617
Australia(26),Australia(39),0,0011655017
Australia(27),Australia(39),0,0164845196
Australia(28),Australia(39),0,0011614407
Australia(29),Australia(39),0,0035067356
Australia(30),Australia(39),0,0017492729
Australia(31),Australia(39),0,0035193327
Australia(32),Australia(39),0,0005834306
Australia(33),Australia(39),0,0011689076
Australia(34),Australia(39),0,0146934729
Australia(35),Australia(39),0,0164845196
Australia(36),Australia(39),0,0158774480
