ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005730	nucleolus	257	17	LdBPK_151530.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_251350.1,LdBPK_270930.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_340910.1,LdBPK_353670.1,LdBPK_360950.1,LdBPK_361310.1,LdBPK_366680.1,	6.6	2.7	3.06	0.000162921744568	0.00223647122089	0.0246011834298
GO:0000785	chromatin	23	5	LdBPK_100920.1,LdBPK_101070.1,LdBPK_160610.1,LdBPK_342440.1,LdBPK_343280.1,	21.7	8.86	11.41	0.000195103162167	0.00242692302605	0.0294605774872
GO:0005838	proteasome regulatory particle	13	4	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_364570.1,	30.8	12.55	18.15	0.000208940392971	0.00242692302605	0.0315499993387
GO:0022624	proteasome accessory complex	14	4	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_364570.1,	28.6	11.65	16.33	0.000286966104272	0.00309513441036	0.0433318817451
GO:0140535	intracellular protein-containing complex	93	9	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_361730.1,LdBPK_364570.1,	9.7	3.95	4.48	0.000417608083916	0.00420392137808	0.0630588206713
GO:0097346	INO80-type complex	2	2	LdBPK_342440.1,LdBPK_343280.1,	100.0	40.77	inf	0.000597496147756	0.00451109591556	0.0902219183112
GO:0097255	R2TP complex	2	2	LdBPK_342440.1,LdBPK_343280.1,	100.0	40.77	inf	0.000597496147756	0.00451109591556	0.0902219183112
GO:0043189	H4/H2A histone acetyltransferase complex	2	2	LdBPK_342440.1,LdBPK_343280.1,	100.0	40.77	inf	0.000597496147756	0.00451109591556	0.0902219183112
GO:0035267	NuA4 histone acetyltransferase complex	2	2	LdBPK_342440.1,LdBPK_343280.1,	100.0	40.77	inf	0.000597496147756	0.00451109591556	0.0902219183112
GO:0031011	Ino80 complex	2	2	LdBPK_342440.1,LdBPK_343280.1,	100.0	40.77	inf	0.000597496147756	0.00451109591556	0.0902219183112
GO:0031981	nuclear lumen	904	36	LdBPK_040680.1,LdBPK_090800.1,LdBPK_130990.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_220440.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_270930.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281660.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_330360.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_351030.1,LdBPK_353670.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_362070.1,LdBPK_364570.1,LdBPK_366680.1,	4.0	1.62	1.86	0.00164744806872	0.0118459361132	0.248764658377
GO:1902562	H4 histone acetyltransferase complex	3	2	LdBPK_342440.1,LdBPK_343280.1,	66.7	27.18	80.64	0.00176357407809	0.0121045311723	0.266299685791
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	11	3	LdBPK_251210.1,LdBPK_282610.1,LdBPK_343460.1,	27.3	11.12	15.21	0.0020635856354	0.013547888302	0.311601430946
GO:0005694	chromosome	79	7	LdBPK_100920.1,LdBPK_101070.1,LdBPK_160610.1,LdBPK_251370.1,LdBPK_280580.1,LdBPK_342440.1,LdBPK_343280.1,	8.9	3.61	4.01	0.00306414190902	0.0192785595109	0.462685428262
GO:1990904	ribonucleoprotein complex	204	12	LdBPK_151530.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_220310.1,LdBPK_242140.1,LdBPK_270130.1,LdBPK_320460.1,LdBPK_340910.1,LdBPK_361310.1,LdBPK_363220.1,LdBPK_365238.1,LdBPK_365350.1,	5.9	2.4	2.62	0.00412998273852	0.0249450957407	0.623627393516
GO:1902494	catalytic complex	179	11	LdBPK_030520.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_220440.1,LdBPK_220490.1,LdBPK_241700.1,LdBPK_320240.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_361730.1,LdBPK_364570.1,	6.1	2.51	2.74	0.00430292726067	0.0249900775524	0.649742016361
GO:0015935	small ribosomal subunit	64	6	LdBPK_211300.1,LdBPK_220310.1,LdBPK_320460.1,LdBPK_361310.1,LdBPK_365238.1,LdBPK_365350.1,	9.4	3.82	4.25	0.00456764260224	0.0255449641829	0.689714032938
GO:0000123	histone acetyltransferase complex	5	2	LdBPK_342440.1,LdBPK_343280.1,	40.0	16.31	26.87	0.0056909959979	0.0295995674099	0.859340395682
GO:0033180	proton-transporting V-type ATPase, V1 domain	5	2	LdBPK_282610.1,LdBPK_343460.1,	40.0	16.31	26.87	0.0056909959979	0.0295995674099	0.859340395682
GO:0044428	obsolete nuclear part	572	24	LdBPK_040680.1,LdBPK_090800.1,LdBPK_151530.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_270930.1,LdBPK_280730.1,LdBPK_281660.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_340910.1,LdBPK_343280.1,LdBPK_351030.1,LdBPK_353670.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_366680.1,	4.2	1.71	1.89	0.00588070875694	0.0295995674099	0.887987022298
GO:0000786	nucleosome	16	3	LdBPK_100920.1,LdBPK_101070.1,LdBPK_160610.1,	18.8	7.64	9.35	0.00640142870285	0.0301031436268	0.966615734131
GO:0031974	membrane-enclosed lumen	1052	38	LdBPK_040680.1,LdBPK_090800.1,LdBPK_130990.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_161380.1,LdBPK_161390.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_220440.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_270930.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281660.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_330360.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_351030.1,LdBPK_353670.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_362070.1,LdBPK_364570.1,LdBPK_366680.1,	3.6	1.47	1.66	0.0067781912802	0.0301031436268	1.0
GO:0070013	intracellular organelle lumen	1052	38	LdBPK_040680.1,LdBPK_090800.1,LdBPK_130990.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_161380.1,LdBPK_161390.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_220440.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_270930.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281660.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_330360.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_351030.1,LdBPK_353670.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_362070.1,LdBPK_364570.1,LdBPK_366680.1,	3.6	1.47	1.66	0.0067781912802	0.0301031436268	1.0
GO:0043233	organelle lumen	1052	38	LdBPK_040680.1,LdBPK_090800.1,LdBPK_130990.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_161380.1,LdBPK_161390.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_220440.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_270930.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281660.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_330360.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_351030.1,LdBPK_353670.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_362070.1,LdBPK_364570.1,LdBPK_366680.1,	3.6	1.47	1.66	0.0067781912802	0.0301031436268	1.0
GO:0070603	SWI/SNF superfamily-type complex	6	2	LdBPK_342440.1,LdBPK_343280.1,	33.3	13.59	20.15	0.00839959091294	0.0324204630816	1.0
GO:1902493	acetyltransferase complex	6	2	LdBPK_342440.1,LdBPK_343280.1,	33.3	13.59	20.15	0.00839959091294	0.0324204630816	1.0
GO:1904949	ATPase complex	6	2	LdBPK_342440.1,LdBPK_343280.1,	33.3	13.59	20.15	0.00839959091294	0.0324204630816	1.0
GO:0031248	protein acetyltransferase complex	6	2	LdBPK_342440.1,LdBPK_343280.1,	33.3	13.59	20.15	0.00839959091294	0.0324204630816	1.0
GO:0044815	DNA packaging complex	18	3	LdBPK_100920.1,LdBPK_101070.1,LdBPK_160610.1,	16.7	6.8	8.1	0.008999605386	0.0324204630816	1.0
GO:0099513	polymeric cytoskeletal fiber	53	5	LdBPK_081290.1,LdBPK_130330.1,LdBPK_212240.1,LdBPK_250990.1,LdBPK_320240.1,	9.4	3.85	4.26	0.00923231730139	0.0324204630816	1.0
GO:0099512	supramolecular fiber	53	5	LdBPK_081290.1,LdBPK_130330.1,LdBPK_212240.1,LdBPK_250990.1,LdBPK_320240.1,	9.4	3.85	4.26	0.00923231730139	0.0324204630816	1.0
GO:0099081	supramolecular polymer	53	5	LdBPK_081290.1,LdBPK_130330.1,LdBPK_212240.1,LdBPK_250990.1,LdBPK_320240.1,	9.4	3.85	4.26	0.00923231730139	0.0324204630816	1.0
GO:0005874	microtubule	53	5	LdBPK_081290.1,LdBPK_130330.1,LdBPK_212240.1,LdBPK_250990.1,LdBPK_320240.1,	9.4	3.85	4.26	0.00923231730139	0.0324204630816	1.0
GO:0000228	nuclear chromosome	19	3	LdBPK_251370.1,LdBPK_342440.1,LdBPK_343280.1,	15.8	6.44	7.59	0.0104976782235	0.0360261229944	1.0
GO:0005634	nucleus	1418	47	LdBPK_040680.1,LdBPK_090800.1,LdBPK_120190.1,LdBPK_130990.1,LdBPK_151120.1,LdBPK_151140.1,LdBPK_151530.1,LdBPK_190090.1,LdBPK_191200.1,LdBPK_211300.1,LdBPK_212130.1,LdBPK_220440.1,LdBPK_230060.1,LdBPK_242140.1,LdBPK_242170.1,LdBPK_250940.1,LdBPK_251350.1,LdBPK_251370.1,LdBPK_251460.1,LdBPK_270930.1,LdBPK_280580.1,LdBPK_280730.1,LdBPK_280980.1,LdBPK_281660.1,LdBPK_291170.1,LdBPK_291180.1,LdBPK_303650.1,LdBPK_310200.1,LdBPK_311930.1,LdBPK_323110.1,LdBPK_330360.1,LdBPK_340900.1,LdBPK_340910.1,LdBPK_342440.1,LdBPK_343280.1,LdBPK_351030.1,LdBPK_353670.1,LdBPK_354950.1,LdBPK_360950.1,LdBPK_360990.1,LdBPK_361310.1,LdBPK_361420.1,LdBPK_361730.1,LdBPK_362070.1,LdBPK_363220.1,LdBPK_364570.1,LdBPK_366680.1,	3.3	1.35	1.54	0.0122521900567	0.0411129044123	1.0
GO:0031970	organelle envelope lumen	8	2	LdBPK_161380.1,LdBPK_161390.1,	25.0	10.19	13.43	0.0151818164048	0.0487756229175	1.0
GO:0005758	mitochondrial intermembrane space	8	2	LdBPK_161380.1,LdBPK_161390.1,	25.0	10.19	13.43	0.0151818164048	0.0487756229175	1.0
GO:0044429	obsolete mitochondrial part	9	2	LdBPK_161380.1,LdBPK_161390.1,	22.2	9.06	11.51	0.0192082829668	0.0604260568332	1.0
GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	1	1	LdBPK_361420.1,	100.0	40.77	inf	0.0245263870097	0.0698770648768	1.0
GO:0000120	RNA polymerase I transcription regulator complex	1	1	LdBPK_251350.1,	100.0	40.77	inf	0.0245263870097	0.0698770648768	1.0
GO:0042405	nuclear inclusion body	1	1	LdBPK_354950.1,	100.0	40.77	inf	0.0245263870097	0.0698770648768	1.0
GO:0033557	Slx1-Slx4 complex	1	1	LdBPK_251370.1,	100.0	40.77	inf	0.0245263870097	0.0698770648768	1.0
GO:0016234	inclusion body	1	1	LdBPK_354950.1,	100.0	40.77	inf	0.0245263870097	0.0698770648768	1.0
GO:0044391	ribosomal subunit	146	8	LdBPK_211300.1,LdBPK_220310.1,LdBPK_242140.1,LdBPK_320460.1,LdBPK_340910.1,LdBPK_361310.1,LdBPK_365238.1,LdBPK_365350.1,	5.5	2.23	2.38	0.0265248221804	0.0741712620229	1.0
GO:0032993	protein-DNA complex	27	3	LdBPK_100920.1,LdBPK_101070.1,LdBPK_160610.1,	11.1	4.53	5.06	0.0274869051202	0.0754640486028	1.0
GO:0099080	supramolecular complex	96	6	LdBPK_081290.1,LdBPK_130330.1,LdBPK_212240.1,LdBPK_250990.1,LdBPK_320240.1,LdBPK_350370.1,	6.3	2.55	2.72	0.0299386846873	0.0801250107337	1.0
GO:0070469	respirasome	28	3	LdBPK_161380.1,LdBPK_161390.1,LdBPK_241700.1,	10.7	4.37	4.85	0.030245864979	0.0801250107337	1.0
GO:0062159	contractile vacuole complex	14	2	LdBPK_241700.1,LdBPK_282610.1,	14.3	5.82	6.71	0.044827089282	0.114726957315	1.0
GO:0000331	contractile vacuole	14	2	LdBPK_241700.1,LdBPK_282610.1,	14.3	5.82	6.71	0.044827089282	0.114726957315	1.0
GO:0031428	box C/D RNP complex	2	1	LdBPK_363220.1,	50.0	20.39	40.04	0.0484552778714	0.116138840612	1.0
GO:0005802	trans-Golgi network	2	1	LdBPK_312350.1,	50.0	20.39	40.04	0.0484552778714	0.116138840612	1.0
GO:0090734	site of DNA damage	2	1	LdBPK_280580.1,	50.0	20.39	40.04	0.0484552778714	0.116138840612	1.0
GO:0035861	site of double-strand break	2	1	LdBPK_280580.1,	50.0	20.39	40.04	0.0484552778714	0.116138840612	1.0
